,symbol,date,rmse_norm,rmse_denorm
0,XRP,2016-07-29,0.010118498321956174,2.0849161163368258e-06
1,XRP,2016-08-26,0.0008741147143622036,1.8011093846289403e-07
2,XRP,2016-09-09,0.0015018262485260517,3.094516604556704e-07
3,XRP,2016-10-29,0.004266109852695654,8.790321933687657e-07
4,XRP,2016-11-24,0.003715098834036333,7.654960353695789e-07
5,XRP,2016-12-14,0.001191922423927655,2.455963123124103e-07
6,XRP,2017-01-27,0.002559550740665467,5.273958320089145e-07
7,XRP,2017-02-14,0.001667138381714929,3.43513875839999e-07
8,XRP,2017-03-22,0.02005476872324835,4.132284998864634e-06
9,XRP,2017-04-20,0.012903065959231658,2.658675645920448e-06
10,XRP,2017-05-07,0.1638202104022335,3.375515961712226e-05
11,XRP,2017-06-11,0.03107961935633685,6.4039558263495464e-06
