,symbol,date,rmse_norm,rmse_denorm
0,XMR,2016-07-29,0.00654886898664761,0.00015533919262886034
1,XMR,2016-08-26,0.03647587738591945,0.0008652077691257004
2,XMR,2016-09-09,0.01217634078825125,0.0002888217616081254
3,XMR,2016-10-29,0.04939892039733229,0.0011717423912286761
4,XMR,2016-11-24,0.013595203776383735,0.0003224782180786135
5,XMR,2016-12-14,0.01708453391092829,0.0004052456548810004
6,XMR,2017-01-27,0.03672600003559323,0.000871140010356904
7,XMR,2017-02-14,0.06443298420857824,0.0015283502861857395
8,XMR,2017-03-22,0.04956273988366744,0.0011756281071901332
9,XMR,2017-04-20,0.007836521878009206,0.00018588383674621525
10,XMR,2017-05-07,0.07354573495874495,0.0017445050573348976
11,XMR,2017-06-11,0.0026875953449163603,6.375112831592464e-05
