,symbol,date,rmse_norm,rmse_denorm
0,DOGE_with_indicators,2016-07-29,0.005610221106073149,7.742111368206674e-09
1,DOGE_with_indicators,2016-08-26,0.019153628012408414,2.64319954927487e-08
2,DOGE_with_indicators,2016-09-09,0.020650709884754176,2.8497994663339347e-08
3,DOGE_with_indicators,2016-10-29,0.0053042137752408736,7.3198024342127644e-09
4,DOGE_with_indicators,2016-11-24,0.004622856128043001,6.379526287491885e-09
5,DOGE_with_indicators,2016-12-14,0.017476739118928497,2.411788998208065e-08
6,DOGE_with_indicators,2017-01-27,0.012236173278179746,1.6885917931649606e-08
7,DOGE_with_indicators,2017-02-14,0.01978366130935974,2.7301441668714697e-08
8,DOGE_with_indicators,2017-03-22,0.0032939864457517676,4.545694866028503e-09
9,DOGE_with_indicators,2017-04-20,0.01267314799453903,1.7488938713431703e-08
10,DOGE_with_indicators,2017-05-07,0.08816784793052113,1.2167168950996713e-07
11,DOGE_with_indicators,2017-06-11,0.006185467692388924,8.535930190118982e-09
