stock_id,Date,PriceOfLastTransaction,MaxPrice,MinPrice,AvgPrice,ChangePercentage,TradedQuantity,TotalTradedVolume,TotalTradedVolumeIncludingBlocks,RSI_14,RSI_30,RSI_60,SMA_14,SMA_30,SMA_60,EMA_14,EMA_30,EMA_60
ALK,1997-01-09,1070.0,1070.0,1070.0,1070.0,0.0,261,279270,279270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-01-14,1050.0,1070.0,1050.0,1059.86,1.0,357,378370,378370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-01-16,1030.0,1030.0,1030.0,1030.0,3.0,239,246170,246170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-01-21,1010.0,1030.0,1010.0,1026.39,0.0,61,62610,62610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-01-23,1010.0,1010.0,1009.0,1009.83,2.0,417,421100,421100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-01-28,1000.0,1009.0,1000.0,1000.0,1.0,290,290630,290630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-01-30,1000.0,1000.0,1000.0,1000.0,0.0,393,393000,393000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-02-04,1000.0,1000.0,1000.0,1000.0,0.0,779,779000,779000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-02-06,1000.0,1000.0,1000.0,1000.0,0.0,396,396000,396000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-02-11,970.0,1000.0,970.0,994.63,1.0,475,472450,472450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-02-13,970.0,0.0,0.0,994.63,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-02-18,970.0,970.0,970.0,970.0,3.0,75,72750,72750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-02-20,970.0,970.0,970.0,970.0,0.0,100,97000,97000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,1997-02-25,970.0,970.0,970.0,970.0,0.0,582,564540,564540,0.0,0.0,0.0,1001.4285714285714,0.0,0.0,1001.4285714285714,0.0,0.0
ALK,1997-02-27,970.0,0.0,0.0,970.0,0.0,0,0,0,0.0,0.0,0.0,994.2857142857143,0.0,0.0,997.2380952380953,0.0,0.0
ALK,1997-03-04,970.0,970.0,970.0,970.0,0.0,290,281300,281300,0.0,0.0,0.0,988.5714285714286,0.0,0.0,993.6063492063493,0.0,0.0
ALK,1997-03-06,2450.0,2450.0,2450.0,2450.0,-60.0,1,2450,2450,94.49475535865528,0.0,0.0,1090.0,0.0,0.0,1187.7921693121693,0.0,0.0
